Small Unit Installation Postcode,Previous Years (2001-2020) - Installations Quantity,Previous Years (2001-2020) - SGU Rated Output In kW,Jan 2021 - Installations Quantity,Jan 2021 - SGU Rated Output In kW,Feb 2021 - Installations Quantity,Feb 2021 - SGU Rated Output In kW,Mar 2021 - Installations Quantity,Mar 2021 - SGU Rated Output In kW,Apr 2021 - Installations Quantity,Apr 2021 - SGU Rated Output In kW,May 2021 - Installations Quantity,May 2021 - SGU Rated Output In kW,Jun 2021 - Installations Quantity,Jun 2021 - SGU Rated Output In kW,Jul 2021 - Installations Quantity,Jul 2021 - SGU Rated Output In kW,Aug 2021 - Installations Quantity,Aug 2021 - SGU Rated Output In kW,Sep 2021 - Installations Quantity,Sep 2021 - SGU Rated Output In kW,Oct 2021 - Installations Quantity,Oct 2021 - SGU Rated Output In kW,Nov 2021 - Installations Quantity,Nov 2021 - SGU Rated Output In kW,Dec 2021 - Installations Quantity,Dec 2021 - SGU Rated Output In kW,Jan 2022- Installations Quantity,Jan 2022 - SGU Rated Output In kW,Feb 2022- Installations Quantity,Feb 2022 - SGU Rated Output In kW,Mar 2022- Installations Quantity,Mar 2022 - SGU Rated Output In kW,Apr 2022- Installations Quantity,Apr 2022 - SGU Rated Output In kW,May 2022- Installations Quantity,May 2022 - SGU Rated Output In kW,June 2022- Installations Quantity,June 2022 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
2517,1064,4875.262,18,139.01,15,92.35,24,179.25,14,100.49,17,116.425,15,113.905,12,101.62,16,139.375,24,155.69,11,99.12,21,233.19,14,106.605,6,46.59,14,109.91,11,80.49,4,28,13,105,4,38,1317,6859.612
2538,387,1852.945,2,15.62,5,34.92,7,49.93,4,23.28,6,63.64,3,16.61,3,19.61,9,66.46,6,52.77,11,114.22,8,67.39,7,62.33,6,38.32,5,37.47,3,27.02,3,27,3,57,4,40,482,2666.705
2551,471,2113.505,3,16.56,6,50.91,5,32.44,8,54.3,6,50.98,6,42.6,11,88.7,7,35.12,25,95.98,9,52.69,7,56.74,4,36.63,1,6.66,6,37.71,1,5.6,2,15,0,0,4,27,582,2819.045
2609,141,4241.763,1,6.48,0,0,1,39.6,2,129.5,2,39.96,0,0,0,0,1,10.53,3,118.85,3,122.92,9,384.09,12,447.06,2,109.44,4,309.31,2,120,0,0,1,99,4,78,188,6257.103
2630,1073,5567.283,7,46.545,12,153.495,19,132.74,7,43.81,10,70.7,9,53.44,10,226.68,8,65.73,11,92.345,5,28.49,8,70.64,16,131.32,3,30.24,11,115.105,7,67.68,9,64,11,93,4,31,1240,7083.858
2653,400,2118.16,6,26.08,6,32.44,8,73.31,6,35.93,4,24.32,3,19.89,3,14.06,6,44.29,1,7.4,0,0,7,79.62,5,33.39,2,10.84,4,41.26,11,73.91,6,42,5,29,4,30,487,2736.98
2700,730,4249.851,6,45.79,11,119.315,3,47.45,2,13.32,5,30.71,5,77.51,8,77.61,6,46.96,3,53.69,10,113.42,5,126.484,6,91.544,0,0,3,23.16,8,92.29,4,30,6,39,4,36,825,5314.144
2717,122,845.788,1,6.4,0,0,2,23.68,0,0,1,6.6,24,120.78,20,102.3,3,19.95,0,0,1,6.6,1,6.66,2,13.29,1,9.36,0,0,5,39.22,12,84,2,13,4,30,201,1327.243
2766,1294,8589.102,20,136.56,31,313.92,32,342.71,26,200.53,30,322.64,29,228.22,14,103.64,1,9.25,21,183.27,20,428.235,16,234.16,22,265.85,12,92.325,13,196.635,22,144.26,9,62,13,116,4,31,1629,12000.207
2784,172,586.631,1,6.66,3,25.89,1,7.2,3,26.46,0,0,0,0,1,6.66,0,0,2,23.46,0,0,2,16.25,0,0,1,8.51,1,14.06,2,14.24,0,0,2,18,4,33,195,786.626
