Solar Water Heater (SWH) - Solar,,,,,,,,,,,,,,,,,,,,,,,,,,
Data as at 28/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Unit Installation Postcode,Previous Years (2001-2018) - Installations Quantity,Jan 2019 - Installations Quantity,Feb 2019 - Installations Quantity,Mar 2019 - Installations Quantity,Apr 2019 - Installations Quantity,May 2019 - Installations Quantity,Jun 2019 - Installations Quantity,Jul 2019 - Installations Quantity,Aug 2019 - Installations Quantity,Sep 2019 - Installations Quantity,Oct 2019 - Installations Quantity,Nov 2019 - Installations Quantity,Dec 2019 - Installations Quantity,Jan 2020 - Installations Quantity,Feb 2020 - Installations Quantity,Mar 2020 - Installations Quantity,Apr 2020 - Installations Quantity,May 2020 - Installations Quantity,Jun 2020 - Installations Quantity,Jul 2020 - Installations Quantity,Aug 2020 - Installations Quantity,Sep 2020 - Installations Quantity,Oct 2020 - Installations Quantity,Nov 2020 - Installations Quantity,Dec 2020 - Installations Quantity,Installations Quantity Total
1811,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1816,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1825,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1830,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
1848,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
1851,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1871,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1875,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1885,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
1890,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
1891,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2000,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
2008,35,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,40
2009,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2010,62,0,2,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,76
2011,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2015,77,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,80
2016,44,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,48
2017,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
2018,41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,45
2019,53,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
2020,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
2021,82,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
2022,54,0,0,3,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,62
2023,43,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,46
2024,74,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,79
2025,45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,48
2026,131,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,134
2027,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2028,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2029,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
2030,71,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,75
2031,200,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,206
