Small Unit Installation Postcode,Previous Years (2001-2020) - Installation Quantity,Previous Years (2001-2020) - SGU Output Rated Output in kW,Jan 2021 - Installations Quantity,Jan 2021 - SGU Rated Output In kW,Feb 2021 - Installations Quantity,Feb 2021 - SGU Rated Output In kW,Mar 2021 - Installations Quantity,Mar 2021 - SGU Rated Output In kW,Apr 2021 - Installations Quantity,Apr 2021 - SGU Rated Output In kW,May 2021 - Installations Quantity,May 2021 - SGU Rated Output In kW,June 2021 - Installations Quantity,June 2021 - SGU Rated Output In kW,July 2021 - Installations Quantity,July 2021 - SGU Rated Output In kW,Aug 2021 - Installations Quantity,Aug 2021 - SGU Rated Output In kW,Sep 2021 - Installations Quantity,Sep 2021 - SGU Rated Output In kW,Oct 2021 - Installations Quantity,Oct 2021 - SGU Rated Output In kW,Nov 2021 - Installations Quantity,Nov 2021 - SGU Rated Output In kW,Dec 2021 - Installations Quantity,Dec 2021 - SGU Rated Output In kW,Jan 2022 - Installations Quantity,Jan 2022 - SGU Rated Output In kW,Feb 2022 - Installations Quantity,Feb 2022 - SGU Rated Output In kW,Mar 2022 - Installations Quantity,Mar 2022 - SGU Rated Output in kW,Apr 2022 - Installations Quantity,Apr 2022 - SGU Rated Output in kW,May 2022 - Installations Quantity,May 2022 - SGU Rated Output in kW,June 2022 - Installations Quantity,June 2022 - SGU Rated Output in kW,July 2022 - Installations Quantity,July 2022 - SGU Rated Output in kW,Installations Quantity Total,SGU Rated Output In kW Total
3020,2813,14149.96,34,234.82,36,256.56,28,287.125,28,216.43,31,288.29,51,447.44,51,439.01,34,360.11,22,168.30,32,326.12,38,298.05,32,264.80,13,86.48,23,209.49,19,219.30,14,130,27,161,17,141,6,38.87,3349,18722.78
3021,3383,13370.99,42,268.39,43,280.63,57,362.38,39,246.47,44,285.27,46,296.13,60,395.95,50,416.77,32,222.01,40,284.56,46,285.29,37,264.40,17,125.63,25,161.07,28,161.82,16,83,23,197,20,152,5,37.07,4053,17896.44
3022,191,818.81,1,5.94,3,18.54,1,6.29,1,6.66,1,2.96,5,35.46,5,28.06,2,14.43,3,17.73,1,6.40,0,0.00,2,26.13,1,6.64,0,0.00,1,6.65,1,66,0,0,1,7,1,6.66,221,1079.84
3023,5641,24646.71,62,448.53,99,715.03,100,678.615,87,622.81,60,409.51,74,534.92,88,704.04,67,552.25,43,323.00,67,601.56,66,492.07,64,493.66,32,210.00,38,263.82,41,366.94,27,199,29,362,33,246,10,64.54,6728,32934.60
3024,3305,15646.03,63,412.90,81,519.63,83,540.77,92,618.61,73,563.84,55,367.00,111,748.01,87,582.90,56,404.80,69,511.04,79,549.71,63,454.39,39,267.04,44,299.60,53,381.61,39,261,22,154,31,212,17,132.41,4462,23627.29
3025,617,4341.42,5,31.14,12,58.54,26,147.04,7,47.14,17,70.42,3,14.06,13,178.48,5,38.85,20,74.97,13,190.67,18,111.55,9,135.16,13,55.54,5,36.10,4,25.55,6,36,19,84,4,41,4,26.49,820,5744.34
3026,356,7967.96,18,137.81,12,77.26,19,160.63,13,170.89,12,296.38,16,388.18,17,238.78,18,335.80,9,171.40,17,387.69,10,285.25,42,369.25,6,39.89,4,81.07,7,52.89,4,213,2,16,7,60,3,28.60,592,11478.11
3027,806,3679.32,17,107.25,13,94.20,23,153.375,17,103.35,3,19.98,15,96.88,11,83.63,15,103.34,12,77.64,11,77.61,16,105.06,10,68.82,5,36.66,10,73.40,10,66.05,11,82,5,36,3,24,2,13.23,1015,5101.05
3028,2164,8447.58,33,213.55,32,255.86,27,217.45,19,111.57,24,155.35,25,163.26,39,358.29,22,236.88,20,192.63,20,157.67,27,237.92,24,140.32,13,71.52,11,89.35,16,102.66,15,108,10,54,13,115,6,63.77,2560,11492.60
3029,13028,66465.31,256,1839.17,219,1479.61,332,2818.1,275,1893.08,250,1690.19,303,2192.67,345,2688.63,293,2211.96,231,1816.92,308,2440.63,290,2307.63,260,2492.16,106,829.80,155,1233.23,178,1217.10,147,1403,112,965,123,974,70,558.12,17281,99516.51
3030,10191,50054.49,187,1232.13,181,1238.98,229,1575.88,177,1364.94,164,1258.16,199,1504.42,231,1658.69,177,1286.13,105,730.77,163,1225.82,144,1026.26,123,976.27,66,446.66,105,748.11,98,659.26,79,557,75,506,95,685,44,304.40,12833,69038.97
3031,608,2610.71,9,38.91,6,29.90,7,37.23,5,27.78,3,17.81,6,25.47,10,93.50,4,24.78,2,10.09,4,22.50,12,70.24,10,263.76,5,34.63,9,76.50,9,54.12,4,39,5,31,2,10,1,6.60,721,3524.86
3032,1254,5356.78,12,92.66,13,83.85,19,122.69,14,92.53,15,196.23,19,136.53,15,100.50,12,82.67,9,62.59,13,114.55,20,134.58,10,91.76,5,32.87,11,107.62,13,83.04,8,63,3,18,3,29,3,18.93,1471,7021.19
3033,865,3828.31,5,36.54,9,53.09,6,45.02,10,67.62,9,67.96,9,248.26,8,70.11,8,53.03,8,55.51,8,74.31,7,59.53,6,105.75,2,18.66,10,70.58,7,52.69,7,50,3,22,1,7,1,3.70,989,4989.50
3034,615,2570.67,11,88.45,7,43.29,10,60.41,10,64.31,3,23.26,7,46.53,4,29.75,10,82.14,8,50.26,5,31.45,6,41.99,9,74.09,4,31.49,9,85.28,6,44.28,4,26,5,31,4,25,1,10.79,738,3460.74
3036,438,2003.99,4,31.71,2,16.65,5,40.76,7,57.11,6,38.48,2,15.54,3,21.57,7,81.41,3,19.86,5,46.71,3,26.81,2,13.32,1,18.45,4,36.25,6,43.80,1,7,1,13,7,58,0,0.00,507,2590.00
3037,4044,17070.36,53,355.25,61,451.37,79,560.54,64,488.36,42,284.58,47,351.60,63,451.00,56,435.72,51,399.72,40,277.37,56,442.71,47,386.09,20,139.19,28,231.32,45,325.10,23,174,26,196,21,148,12,120.44,4878,23289.36
3038,2112,9147.05,22,153.51,27,170.06,33,443.4,28,196.01,19,168.36,27,188.09,30,210.62,27,201.76,14,103.78,22,171.59,33,251.37,27,386.78,12,86.91,10,73.97,14,96.44,12,130,14,99,11,75,4,35.70,2498,12388.83
3039,599,2648.73,9,56.44,4,27.57,10,66.3,1,4.95,6,40.70,12,46.50,5,23.30,4,22.46,2,14.49,3,24.02,5,20.83,15,127.77,1,5.60,5,31.26,9,59.79,1,9,1,4,5,47,2,16.92,699,3298.84
