Small Unit Installation Postcode,Previous Years (2001-2014) - Installations Quantity,Previous Years (2001-2014) - SGU Rated Output In kW,Jan 2015 - Installations Quantity,Jan 2015 - SGU Rated Output In kW,Feb 2015 - Installations Quantity,Feb 2015 - SGU Rated Output In kW,Mar 2015 - Installations Quantity,Mar 2015 - SGU Rated Output In kW,Apr 2015 - Installations Quantity,Apr 2015 - SGU Rated Output In kW,May 2015 - Installations Quantity,May 2015 - SGU Rated Output In kW,Jun 2015 - Installations Quantity,Jun 2015 - SGU Rated Output In kW,Jul 2015 - Installations Quantity,Jul 2015 - SGU Rated Output In kW,Aug 2015 - Installations Quantity,Aug 2015 - SGU Rated Output In kW,Sep 2015 - Installations Quantity,Sep 2015 - SGU Rated Output In kW,Oct 2015 - Installations Quantity,Oct 2015 - SGU Rated Output In kW,Nov 2015 - Installations Quantity,Nov 2015 - SGU Rated Output In kW,Dec 2015 - Installations Quantity,Dec 2015 - SGU Rated Output In kW,Jan 2016 - Installations Quantity,Jan 2016 - SGU Rated Output In kW,Feb 2016 - Installations Quantity,Feb 2016 - SGU Rated Output In kW,Mar 2016 - Installations Quantity,Mar 2016 - SGU Rated Output In kW,Apr 2016 - Installations Quantity,Apr 2016 - SGU Rated Output In kW,May 2016 - Installations Quantity,May 2016 - SGU Rated Output In kW,Jun 2016 - Installations Quantity,Jun 2016 - SGU Rated Output In kW,Jul 2016 - Installations Quantity,Jul 2016 - SGU Rated Output In kW,Aug 2016 - Installations Quantity,Aug 2016 - SGU Rated Output In kW,Sep 2016 - Installations Quantity,Sep 2016 - SGU Rated Output In kW,Oct 2016 - Installations Quantity,Oct 2016 - SGU Rated Output In kW,Nov 2016 - Installations Quantity,Nov 2016 - SGU Rated Output In kW,Dec 2016 - Installations Quantity,Dec 2016 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
2420,239,759.982,2,8.32,4,11.58,3,27.22,2,7.5,4,19.1,3,31.5,1,4.59,1,10,3,18.99,1,2,1,0.5,1,6.24,0,0,4,7.435,4,11.95,3,16.83,4,17.28,0,0,6,18.12,5,31.3,2,13.4,2,5.16,3,20.32,5,44.59,303,"1,093.91"
2421,133,553.805,1,3.06,1,4.16,3,31,0,0,2,8.5,1,2.5,0,0,1,3,0,0,0,0,1,5,1,19.5,0,0,4,14.32,1,4.68,3,44.285,1,4.08,6,32.375,2,3.98,2,6.08,2,9.12,1,2.04,2,10.4,2,8.1,170,769.985
2422,459,"1,457.92",7,18.25,4,12.96,4,11.04,2,4,11,69.14,0,0,1,20,5,19.5,3,8.5,9,34.22,8,25.53,5,23.52,3,12.28,3,15.12,3,10.32,8,36.36,2,3.09,3,9.36,4,14.58,4,12.6,5,110.72,9,36.88,7,26.67,7,47.14,576,"2,039.70"
2423,281,835.443,1,3,1,1.5,5,15.66,2,7,0,0,2,11.25,3,10.26,0,0,15,63.82,7,25.5,4,30.25,1,1.5,3,9.54,2,4.99,2,26,4,11.72,2,7.65,4,15.52,11,39.82,8,28.24,7,61.42,1,5.2,3,11.09,3,9.36,372,"1,235.73"
2424,40,121.45,0,0,2,7.04,0,0,0,0,0,0,1,1.5,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,5.2,0,0,1,5.5,0,0,1,1.56,0,0,0,0,0,0,0,0,0,0,48,145.25
2425,151,432.44,0,0,2,12.8,1,30.16,0,0,2,6.76,3,26.6,0,0,0,0,4,35.54,2,10,0,0,1,4.08,0,0,3,9.3,0,0,1,5.2,1,1.56,2,11.18,3,26.55,9,30.83,2,30.7,2,9.28,0,0,2,15.86,191,698.84
2426,55,180.859,1,1.5,0,0,0,0,1,3.12,0,0,0,0,0,0,3,19.45,0,0,0,0,2,5.5,0,0,1,19.76,0,0,0,0,0,0,2,4.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,235.129
2427,370,786.555,4,15.84,9,27,3,4.53,6,23.2,2,10,7,23.925,4,20.12,4,16.14,4,17.16,3,13.14,4,15.32,2,7.7,0,0,2,8.32,1,1.02,3,10.64,5,18.83,1,3.15,3,9.61,1,4.42,2,6.24,0,0,4,19.01,0,0,444,"1,061.87"
2428,"1,788","4,092.16",14,46.9,11,33.54,8,23.55,11,38.55,20,92.14,28,93.815,22,95.625,16,61.79,16,54.04,15,46.48,16,121.48,16,54.74,12,44.05,16,74.1,7,30.81,17,79.195,10,37.72,9,31.645,16,58.5,14,58.07,12,47.28,9,35.72,14,45.39,14,101.395,"2,131","5,498.68"
2429,761,"2,224.57",12,37.68,9,27.82,7,23.1,5,13.5,6,15.58,9,40.87,4,18.7,10,52.745,11,47.25,11,45.74,12,46.21,8,32.1,8,42.91,8,29.65,9,49.29,9,45.41,5,19.72,2,14.44,3,7.28,5,24.97,6,102.86,6,38,8,40.94,8,31.49,942,"3,072.83"
2430,"2,455","6,789.75",33,174.64,30,161.45,32,124.665,23,116.8,31,196.41,30,119.345,41,225.3,24,116.83,16,92.31,37,140.005,18,78.48,26,123.56,23,73.995,34,140.32,27,304.07,21,177.68,23,97.22,15,116.83,17,74.365,20,114.78,49,361,33,189.835,36,163.865,27,130.41,"3,121","10,403.92"
2431,514,"1,162.39",2,4.5,4,12.08,4,12,2,7,3,8,1,3.5,4,24.86,2,7.12,7,17.56,3,8.76,2,5.08,1,2.08,2,10,0,0,2,6.33,0,0,4,14.56,3,5.58,4,10.87,6,116.9,9,32.225,5,16.52,2,8.24,4,18.98,590,"1,515.14"
2439,297,777.763,1,5,5,10.54,2,7,3,49,4,9.5,3,12.12,1,4,1,3,1,4.16,2,32.64,4,13.32,2,5.2,1,3.12,1,2.08,3,66.44,4,18.72,3,24.96,2,6.24,4,13.32,2,4,4,16.48,6,17.86,3,13.12,2,6.12,361,"1,125.70"
2440,"1,368","4,547.47",11,42.66,11,38.15,11,58.23,18,66.56,16,41.7,7,22.5,17,116.16,14,102.24,10,59.7,8,124.88,16,72.635,24,99.1,7,29.71,6,18.734,13,48.2,19,77.15,10,39.83,6,20.37,7,45.5,12,47.41,9,57.58,9,46.66,11,45,14,55.905,"1,654","5,924.03"
2441,493,"1,393.63",2,10.6,5,16.7,6,54.41,4,13.12,5,13.1,4,16.08,5,13.15,2,5.9,2,6.5,7,35.04,3,11.96,3,11.5,1,2.6,4,15.92,3,15.44,2,11,3,12.2,2,4.68,3,12.75,4,16.24,2,7.28,0,0,3,13.335,5,32.38,573,"1,745.52"
2443,"1,197","2,957.81",18,51.42,13,29.95,14,36,11,40,7,12.75,8,24.08,9,29.94,12,33.49,1,2,6,18.08,5,27.36,7,19.13,7,24.19,4,15.36,4,11.71,6,19.58,4,10.4,9,28.63,3,10.72,5,18.17,9,32.92,6,24.12,12,44.72,15,87.09,"1,392","3,609.62"
2444,"3,332","8,746.48",21,104.72,21,93.14,28,98.77,21,77.79,32,203.92,24,107.83,35,179.395,29,196.92,12,47.225,20,204.8,11,54.84,18,92.88,13,50.41,26,123.015,19,78.75,22,184.785,13,52.77,9,71.86,18,168.82,40,170.075,19,177.6,12,53,33,242.88,27,388.405,"3,855","11,971.08"
2445,573,"1,320.73",6,21.7,10,21,7,32.68,4,14.24,4,14,3,8.12,8,23.42,3,11.34,4,12.36,3,9.08,7,21.02,3,9.76,8,27.02,4,16.48,6,20.8,2,10.2,3,10.24,7,21.18,2,5.26,3,13.86,3,40.04,5,14.48,7,26.68,9,29.78,694,"1,755.47"
2446,"1,135","3,264.09",10,47.64,10,59.7,7,124.74,9,57.3,10,25.87,13,65.88,7,25.4,11,40.255,13,43.72,7,33.04,5,16.39,3,11.7,6,24.02,13,75.52,9,36.955,8,33.69,6,27.94,14,41.04,5,25.64,5,42.035,8,40.62,4,13.72,8,39.88,12,56.12,"1,338","4,272.90"
2447,548,"1,572.53",5,12.33,5,20.5,6,20,5,13.75,10,28.15,1,1.5,4,21.24,4,10.1,1,5,3,11.42,5,14.12,6,22.88,2,25.5,3,10,8,44.62,1,6,3,12.65,4,18.24,5,22.61,11,53.14,5,20.15,4,15.98,8,33.08,7,36.31,664,"2,051.80"
2448,866,"2,031.87",5,14.49,6,14.81,7,21.75,3,9,4,5.5,11,29.3,5,12.185,7,21.8,10,45.37,3,12.5,5,12.62,3,8.03,6,18.57,7,23.48,4,12.81,12,52.51,8,22.62,5,21.88,3,7.95,8,23.78,8,17.86,8,20.28,9,32.44,5,86.74,"1,018","2,580.14"
2449,188,506.698,3,8,0,0,1,2,2,3.9,7,28,2,10.5,0,0,1,4.75,5,31.93,2,8.04,1,3.64,0,0,1,3,3,9.52,0,0,2,13.18,1,3.12,3,13.23,1,5.5,2,5.62,3,9.81,3,14.04,1,5.2,4,23.51,236,713.188
2450,"2,505","7,041.41",22,167.65,23,75.435,32,113.651,38,174.52,31,212.81,37,156.76,41,199.38,27,123.91,24,95.715,31,160.08,32,130.565,21,59.825,20,65.25,28,168.995,18,72.3,19,94.22,24,85.86,23,95.73,24,108.54,20,77.2,31,168.48,24,128.17,35,169.66,34,153.93,"3,164","10,100.04"
2452,918,"2,166.65",8,17.24,9,132.5,12,85.3,4,10.5,8,22,10,52.48,8,24.3,11,37.01,6,21.2,7,29.85,6,36.88,2,3.51,6,18.78,4,11.5,7,24,3,32,7,32.03,4,11.38,10,37.9,8,28.54,10,34.35,10,40.285,7,24.01,3,9.64,"1,088","2,943.83"
2453,256,770.726,6,20,3,25,6,27,7,30.61,3,8.95,2,8.79,6,21.44,1,3,4,17.16,2,6.2,2,8,3,13.94,1,6.24,3,15.4,1,4.16,4,15.675,1,10,4,48.22,1,1,3,10.8,4,14.56,5,12.345,2,8.32,2,8,332,"1,115.54"
2454,787,"1,994.04",7,36.5,6,18.7,9,24.95,4,20.25,3,13.24,8,23.06,6,29.7,9,48.3,5,17.3,4,11.57,5,19.6,7,22.37,4,12.75,10,31.08,7,32.96,6,20.92,5,17.16,9,31.12,3,5.98,14,41.9,7,20.755,6,117.42,6,24.53,6,21.94,943,"2,658.10"
2455,242,603.032,2,6.75,3,6.5,0,0,1,3,7,21.89,6,15.6,2,4.75,2,6.16,0,0,2,4.16,3,11.1,1,5,2,7.59,1,3.12,0,0,2,20.26,2,7.16,1,3,5,29.67,2,3.52,3,10.27,3,104.965,2,5.12,1,5.3,295,887.917
2456,"1,168","3,074.90",8,24.62,4,8.56,12,39.64,18,42.498,7,29.1,9,45.95,9,32.26,6,21.18,6,26.65,11,36.77,12,35.55,8,22.135,11,34.75,5,21.13,4,15.68,3,9.25,11,42.355,20,111.705,18,88.34,11,26.43,9,28.81,7,26.78,16,69.175,11,61.46,"1,404","3,975.67"
2460,"2,150","7,026.24",41,178.785,26,134.77,31,112.66,17,57.93,27,145.36,33,141.59,36,353.71,18,139.58,21,91.75,11,53.94,29,87.745,16,56.88,18,69.46,21,102.33,18,108.34,13,95.94,16,54.17,15,55.19,12,51.84,18,72.745,14,60.45,13,59.45,19,78.66,22,162.61,"2,655","9,552.13"
2462,249,665.504,0,0,3,14.15,2,2.785,0,0,3,13.44,5,23.975,1,4,2,6,3,15.72,0,0,3,11.35,3,10.44,1,2.25,6,33.49,0,0,3,9.24,3,7.28,2,9.36,6,15.99,1,2.12,0,0,1,2.655,1,3.12,3,36.37,301,889.239
2463,568,"1,766.29",7,19.28,7,76.04,9,34.75,7,25.28,6,29.4,11,36.41,9,25.47,5,55.1,6,28.03,7,24.205,4,11.54,7,22.01,3,16.12,8,29.43,2,6.59,6,29.31,4,11.63,9,53.115,3,8.5,2,12.48,10,31.96,6,21.65,3,23.84,6,23.98,715,"2,422.41"
2464,752,"1,781.28",6,16.93,2,6.5,5,14.2,2,7.5,6,19.24,3,10,3,11.6,3,12,5,14.31,2,8.2,3,5.61,3,8.5,4,17.18,4,10.64,2,5,2,7.94,3,107.55,5,24.1,3,6.57,7,47.86,3,7.14,3,9.63,8,27.03,7,16.44,846,"2,202.95"
2465,19,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.06,0,0,0,0,20,51.06
2466,181,520.255,1,5.1,1,3.1,0,0,0,0,0,0,0,0,1,30,1,2,1,1.5,2,16.925,0,0,2,4.5,0,0,2,9.97,0,0,0,0,0,0,1,3.12,2,5.16,1,2.04,0,0,0,0,1,1.5,1,4.05,198,609.22
2469,318,918.657,1,2.08,6,24.56,5,18.7,2,5,3,10.005,2,6.08,0,0,3,13.96,4,13.84,2,8,0,0,12,32.5,5,11.59,5,15.9,7,29.15,1,5.1,1,5,4,16.06,0,0,7,26.18,3,9.2,1,2.08,3,12.08,11,53.69,406,"1,239.41"
2470,"1,148","3,510.42",23,135.8,12,39.25,29,114.64,13,43.245,9,29.05,9,50,15,88.625,8,30.36,8,27.97,6,28.08,6,24.085,5,20.62,12,146.15,10,35.88,6,25.37,12,59.03,10,48.615,7,58.885,0,0,10,60.47,9,40.23,10,80.74,6,40.13,19,96.33,"1,402","4,833.98"
2471,217,673.941,4,15.62,1,2.75,1,3,2,8.75,2,20.5,3,13.24,4,11.54,2,6.06,3,11.04,4,13.25,1,10.6,2,6.57,0,0,2,9,2,10.12,3,19.75,1,3,1,2.08,1,1.56,1,4.08,2,12.48,0,0,0,0,1,4.68,260,863.611
2472,240,617.126,0,0,1,1.5,2,10.93,3,11,1,4.75,1,5.98,0,0,2,7,1,2.08,2,7.6,3,14.22,0,0,1,1.5,0,0,1,5.2,1,1.9,1,3,1,1.56,2,7,3,15.01,2,6.56,1,6.24,1,2.295,0,0,270,732.451
2473,397,977.935,0,0,2,8.6,1,5,3,9,0,0,0,0,1,4.94,1,3,1,3.18,3,14.74,1,2.6,0,0,1,2,1,3.06,0,0,1,5.27,1,5,0,0,1,5.2,1,6.5,1,5.76,0,0,4,16.185,1,10.07,422,"1,088.04"
2474,679,"1,793.20",5,15.65,11,51.45,8,19.605,10,35.25,6,27.11,4,14.72,4,13.95,4,11.56,4,11.42,7,28.21,2,6.05,5,18.36,8,31.62,6,17.75,7,27.53,1,4.16,7,27.13,7,25.84,5,23.16,1,1,5,13.565,10,33.75,19,72.17,19,100.98,844,"2,425.19"
2475,19,78.575,2,8,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.12,2,4.5,0,0,0,0,1,8.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.98,0,0,27,113.335
2476,44,159.3,0,0,2,6.35,1,3,1,2,0,0,1,15.6,0,0,0,0,1,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,2,8.28,1,5.72,0,0,0,0,0,0,54,210.35
2477,"1,399","3,504.22",8,28,16,88.36,11,33.92,10,50.6,7,28.75,10,42.83,9,37.45,5,14.775,7,19.915,9,42.015,8,23.7,4,11.56,5,49.75,9,49.775,7,18.98,5,19.14,4,18.4,5,18.61,9,120.27,8,33.06,8,31.41,6,27.26,5,29.895,12,70.06,"1,586","4,412.71"
2478,"2,691","6,991.73",23,79.2,18,69.295,19,56.39,19,105.5,24,74.48,20,68.405,15,46.85,21,62.15,23,85.15,20,116.68,19,66.56,11,35.575,13,87.12,23,121.66,29,186.17,26,67.85,25,72.4,30,104.155,24,174.18,27,144.77,18,38.3,14,39.37,40,191.815,48,208.27,"3,240","9,294.03"
